count	card_id	card_name	source_note
4	756	Mega Kangaskhan ex	MEG 104
4	1071	Meowth ex	POR 62
4	272	Lillie's Clefairy ex	JTG 56
3	184	Latias ex	SSP 76
2	108	Wellspring Mask Ogerpon ex	TWM 64
2	140	Fezandipiti ex	SFA 38
1	791	Moltres	PFL 14
1	209	Chien-Pao	SSP 56
1	979	Koraidon ex	ASC 121
4	1198	Crispin	SCR 133
3	1182	Boss's Orders	PAL 172 / name match
2	1188	Ciphermaniac's Codebreaking	TEF 145
1	1205	Cyrano	SSP 170
4	1121	Ultra Ball	SVI 196 / name match
4	1102	Dusk Ball	SSP 175
3	1146	Wondrous Patch	PFL 94
1	1088	Prime Catcher	TEF 157
2	1172	Lillie's Pearl	JTG 151
4	1250	Area Zero Underdepths	SCR 131
4	5	Basic {P} Energy	basic Psychic energy
2	3	Basic {W} Energy	basic Water energy
2	6	Basic {F} Energy	basic Fighting energy
1	19	Telepath Psychic Energy	POR 87 name match for Limitless Telepathic Psychic Energy
1	2	Basic {R} Energy	basic Fire energy
